transaction_id,date,supplier_id,supplier_name,country,payment_terms_days,delivery_days,price_usd,quality_rating,incoterms,shipping_included,express_available,order_urgency,budget_available,product_name,product_type,quantity_needed,total_estimated_cost,within_budget,quality_acceptable,value_score,month,quarter,selected,selection_reason
1,2022-01-04,4,"Xiamen Borida Products Co., Ltd",China,0,22,19.16,3.0,EXW,False,False,Low,3008.9,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,41,1337.24,True,True,59.81,1,Q1,True,Best Price
2,2022-01-14,3,GWI GROUP LIMITED,China,0,28,97.91,3.5,CIF LIMA,True,True,High,3012.3,Válvula Bola 50mm,valve_ball,4,391.63,True,True,69.02,1,Q1,True,Reliable Supplier
3,2022-01-18,2,TESTORI LATAM SpA,Chile/Italia,0,10,886.78,5.0,EXW ITALIA,False,False,Low,4419.86,Válvula Diafragma 150mm PTFE,valve_diaphragm,4,4088.32,True,True,91.13,1,Q1,True,Premium Quality
4,2022-01-06,3,GWI GROUP LIMITED,China,0,28,491.46,3.5,CIF LIMA,True,True,Low,6487.67,PP2821 Roll 1.70x30m,filter_cloth_roll,3,1474.39,True,True,65.09,1,Q1,True,Reliable Supplier
5,2022-01-24,3,GWI GROUP LIMITED,China,0,28,89.11,3.5,CIF LIMA,True,True,Medium,2012.2,Válvula Bola 50mm,valve_ball,7,623.74,True,True,69.11,1,Q1,True,Reliable Supplier
6,2022-01-21,3,GWI GROUP LIMITED,China,0,28,433.82,3.5,CIF LIMA,True,True,Low,7076.62,PP2821 Roll 1.70x30m,filter_cloth_roll,5,2169.09,True,True,65.66,1,Q1,True,Reliable Supplier
7,2022-01-15,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,2282.13,4.0,EXW,False,True,High,9922.9,Rollo Tejido 1.80x200m,filter_cloth_roll,2,4834.4,True,True,57.18,1,Q1,True,High Quality
8,2022-01-06,3,GWI GROUP LIMITED,China,0,28,16.67,3.5,CIF LIMA,True,True,Low,7193.46,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,91,1516.89,True,True,69.83,1,Q1,True,Best Price
9,2022-01-27,2,TESTORI LATAM SpA,Chile/Italia,0,10,3022.09,5.0,EXW ITALIA,False,False,Low,8283.85,P9520 TC Rollo 1.80x200m,filter_cloth_roll,4,12533.31,False,True,69.78,1,Q1,True,Premium Quality
10,2022-01-15,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,19.73,4.0,EXW,False,True,Medium,7704.9,AS-135.CA-DUPL 400X400,filter_cloth_standard,41,1295.0,True,True,79.8,1,Q1,True,Best Price
11,2022-01-19,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,368.45,4.0,EXW,False,True,Medium,4811.92,Válvula Mariposa 150mm,valve_butterfly,3,1276.57,True,True,76.32,1,Q1,True,High Quality
12,2022-01-03,2,TESTORI LATAM SpA,Chile/Italia,0,10,487.66,5.0,EXW ITALIA,False,False,Low,4514.14,Placa Cerámica 1000x1000,filter_plate_ceramic,38,19105.35,False,True,95.12,1,Q1,True,Premium Quality
13,2022-01-04,4,"Xiamen Borida Products Co., Ltd",China,0,22,16.33,3.0,EXW,False,False,Medium,4061.58,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,92,1654.15,True,True,59.84,1,Q1,True,Best Price
14,2022-01-24,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,21.67,4.0,EXW,False,True,Low,9213.65,AS-135.CA-DUPL 400X400,filter_cloth_standard,74,1887.7,True,True,79.78,1,Q1,True,Best Price
